RIL,Rep,Round,PlantNo,PlantID,Height (mm),SiliqueNo
9,1,5,32,1,112,11
9,1,5,32,2,165,30
9,1,5,32,3,45,6
9,1,5,32,4,236,58
9,1,5,32,5,136,28
9,2,5,39,1,171,22
9,2,5,39,2,222,72
9,2,5,39,3,129,13
9,2,5,39,4,198,30
9,2,5,39,5,156,25
9,3,5,22,1,84,11
9,3,5,22,2,235,81
9,3,5,22,3,170,40
9,3,5,22,4,122,19
9,3,5,22,5,208,82
9,1,4,69,1,80,7
9,1,4,69,2,116,27
9,1,4,69,3,128,27
9,1,4,69,4,85,17
9,1,4,69,5,170,103
9,2,4,31,1,169,68
9,2,4,31,2,125,13
9,2,4,31,3,30,5
9,2,4,31,4,210,181
9,2,4,31,5,85,18
9,1,3,23,1,129,25
9,1,3,23,2,127,35
9,1,3,23,3,85,8
9,1,3,23,4,168,102
9,1,3,23,5,259,271
9,3,6,29,1,3,30
9,3,6,29,2,21,145
9,3,6,29,3,34,197
9,3,6,29,4,72,222
9,3,6,29,5,101,210
9,4,6,30,1,2,28
9,4,6,30,2,24,157
9,4,6,30,3,26,155
9,4,6,30,4,75,202
9,4,6,30,5,87,244
9,1,6,31,1,2,26
9,1,6,31,2,29,162
9,1,6,31,3,32,159
9,1,6,31,4,15,136
9,1,6,31,5,92,218
9,5,6,43,1,70,218
9,5,6,43,2,8,99
9,5,6,43,3,36,197
9,5,6,43,4,22,163
9,5,6,43,5,12,103
9,6,6,38,1,6,72
9,6,6,38,2,6,49
9,6,6,38,3,16,112
9,6,6,38,4,80,227
9,6,6,38,5,18,132
9,2,6,34,1,12,88
9,2,6,34,2,31,146
9,2,6,34,3,19,129
9,2,6,34,4,11,99
9,2,6,34,5,42,163
29,3,6,37,1,52,158
29,3,6,37,2,25,117
29,3,6,37,3,37,163
29,3,6,37,4,35,141
29,3,6,37,5,53,165
29,3,4,30,1,129,37
29,3,4,30,2,135,22
29,3,4,30,3,187,178
29,3,4,30,4,134,78
29,3,4,30,5,138,65
29,1,3,39,1,99,17
29,1,3,39,2,157,41
29,1,3,39,3,199,139
29,1,3,39,4,144,65
29,1,3,39,5,148,59
29,2,3,36,1,145,902
29,2,3,36,2,125,225
29,1,5,25,1,0,22
29,1,5,25,2,26,128
29,1,5,25,3,38,139
29,1,5,25,4,26,117
29,1,5,25,5,56,178
29,2,5,34,1,60,4
29,2,5,34,2,71,6
29,2,5,34,3,198,64
29,2,5,34,4,124,15
29,2,5,34,5,120,33
29,3,5,31,1,187,34
29,3,5,31,2,129,27
29,3,5,31,3,77,9
29,3,5,31,4,154,38
29,3,5,31,5,163,30
29,2,6,43,1,1,12
29,2,6,43,2,2,20
29,2,6,43,3,8,54
29,2,6,43,4,13,86
29,2,6,43,5,22,130
29,5,6,41,1,7,69
29,5,6,41,2,64,162
29,5,6,41,3,26,135
29,5,6,41,4,33,137
29,5,6,41,5,34,143
29,1,6,43,1,54,157
29,1,6,43,2,9,77
29,1,6,43,3,7,69
29,1,6,43,4,34,129
29,1,6,43,5,6,45
29,6,6,46,1,2,18
29,6,6,46,2,6,57
29,6,6,46,3,6,56
29,6,6,46,4,22,119
29,6,6,46,5,34,138
29,4,6,36,1,43,159
29,4,6,36,2,63,175
29,4,6,36,3,60,164
29,4,6,36,4,51,160
29,4,6,36,5,40,169
51,2,6,39,1,8,70
51,2,6,39,2,9,82
51,2,6,39,3,28,132
51,2,6,39,4,55,160
51,2,6,39,5,72,178
51,6,6,42,1,15,96
51,6,6,42,2,26,127
51,6,6,42,3,12,86
51,6,6,42,4,16,110
51,6,6,42,5,21,127
51,3,6,35,1,39,154
51,3,6,35,2,3,38
51,3,6,35,3,19,147
51,3,6,35,4,31,182
51,3,6,35,5,8,68
51,5,6,42,1,14,101
51,5,6,42,2,13,120
51,5,6,42,3,35,146
51,5,6,42,4,6,49
51,5,6,42,5,1,23
51,4,6,40,1,22,129
51,4,6,40,2,13,100
51,4,6,40,3,59,168
51,4,6,40,4,64,187
51,4,6,40,5,13,96
51,1,6,46,1,19,122
51,1,6,46,2,47,173
51,1,6,46,3,23,140
51,1,6,46,4,31,152
51,1,6,46,5,15,115
51,2,3,27,1,165,183
51,2,3,27,2,153,67
51,2,3,27,3,213,267
51,2,3,27,4,84,12
51,2,3,27,5,209,288
53,3,4,33,1,73,4
53,3,4,33,2,101,46
53,3,4,33,3,38,2
53,3,4,33,4,37,1
53,3,4,33,5,120,75
53,3,6,14,1,2,31
53,3,6,14,2,2,46
53,3,6,14,3,6,81
53,3,6,14,4,1,37
53,3,6,14,5,58,380
53,5,6,27,1,11,144
53,5,6,27,2,16,145
53,5,6,27,3,25,183
53,5,6,27,4,106,398
53,5,6,27,5,28,354
53,2,6,35,1,40,233
53,2,6,35,2,85,386
53,2,6,35,3,43,187
53,2,6,35,4,45,216
53,2,6,35,5,10,126
53,1,6,30,1,107,363
53,1,6,30,2,36,169
53,1,6,30,3,9,88
53,1,6,30,4,43,161
53,1,6,30,5,23,133
53,6,6,35,1,5,68
53,6,6,35,2,6,90
53,6,6,35,3,8,133
53,6,6,35,4,41,198
53,6,6,35,5,56,231
53,4,6,36,1,65,325
53,4,6,36,2,14,139
53,4,6,36,3,9,118
53,4,6,36,4,45,204
53,4,6,36,5,70,382
53,2,4,29,1,162,65
53,2,4,29,2,130,75
53,2,4,29,3,134,32
53,2,4,29,4,127,37
53,2,4,29,5,186,153
53,1,4,3,1,66,1
53,1,4,3,2,99,17
53,1,4,3,3,188,160
58,2,3,33,1,124,24
58,2,3,33,2,137,40
58,2,3,33,3,158,71
58,2,3,33,4,149,58
58,2,3,33,5,151,69
58,5,3,7,1,171,158
58,5,3,7,2,180,94
58,5,3,7,3,184,191
58,5,3,7,4,194,251
58,5,3,7,5,207,229
58,1,3,38,1,122,35
58,1,3,38,2,131,34
58,1,3,38,3,130,86
58,1,3,38,4,155,225
58,1,3,38,5,153,180
58,6,3,41,1,109,26
58,6,3,41,2,116,33
58,6,3,41,3,165,104
58,6,3,41,4,129,41
58,6,3,41,5,99,10
58,4,3,15,1,154,70
58,4,3,15,2,143,77
58,4,3,15,3,90,15
58,4,3,15,4,170,116
58,4,3,15,5,135,143
58,2,6,35,1,2,37
58,2,6,35,2,8,77
58,2,6,35,3,15,115
58,2,6,35,4,44,158
58,2,6,35,5,27,143
58,3,6,13,1,71,186
58,3,6,13,2,60,172
58,3,6,13,3,77,177
58,3,6,13,4,11,105
58,3,6,13,5,35,139
58,1,6,48,1,18,79
58,1,6,48,2,13,119
58,1,6,48,3,11,120
58,1,6,48,4,10,103
58,1,6,48,5,9,91
58,1,6,48,1,18,79
58,1,6,48,2,13,119
58,1,6,48,3,11,120
58,1,6,48,4,10,103
58,1,6,48,5,9,91
58,1,5,35,1,164,58
58,1,5,35,2,101,16
58,1,5,35,3,155,41
58,1,5,35,4,164,40
58,1,5,35,5,73,6
58,2,5,40,1,59,5
58,2,5,40,2,160,39
58,2,5,40,3,37,1
58,2,5,40,4,119,19
58,2,5,40,5,124,20
58,3,5,55,1,144,18
58,3,5,55,2,115,16
58,3,5,55,3,130,19
58,3,5,55,4,77,6
58,3,5,55,5,58,4
59,2,6,45,1,4,53
